奧姵顧問有限公司, 114臺北市內湖區內湖路1段250號12樓
有氧生活家股份有限公司, 114臺北市內湖區洲子街77號5樓
雲普科技股份有限公司, 114臺北市內湖區瑞光路513巷39號4樓
詣漢國際有限公司, 114臺北市內湖區民權東路6段16號4樓
豐鉅建設股份有限公司, 114臺北市內湖區舊宗路2段121巷23號4樓
苗林實業有限公司, 114臺北市內湖區瑞光路513巷26號8樓之2
大鴻生物科技股份有限公司, 114臺北市內湖區堤頂大道2段15號5樓之1
瑞普光電有限公司, 114臺北市內湖區洲子街107號7樓
永梁股份有限公司, 114臺北市內湖區堤頂大道2段295號9樓
永唐有限公司, 114臺北市內湖區瑞光路362號8樓
傳奇亞太科技有限公司, 114臺北市內湖區洲子街181號8樓
域相墨湧設計事業有限公司, 114臺北市內湖區陽光街321巷34號
豐宇通運有限公司, 114臺北市內湖區舊宗路2段181巷6號4樓
哲生企業有限公司, 114臺北市內湖區陽光街321巷26號5樓之3
捷聯室內裝修設計有限公司, 114臺北市內湖區瑞光路586號9樓
商邦餐飲有限公司, 114臺北市內湖區洲子街183號1樓
宜卡逽國際有限公司, 114臺北市內湖區陽光街351號2樓之5
興又昌股份有限公司, 114臺北市內湖區內湖路1段388號8樓之2
樂快股份有限公司, 114臺北市內湖區洲子街73號10樓之1
遠鎧科技有限公司, 114臺北市內湖區瑞光路607號4樓
旭東國際通運有限公司, 114臺北市內湖區舊宗路2段181巷8號4樓
台灣威亞數位科技股份有限公司, 114臺北市內湖區瑞光路480號10樓
聚達系統股份有限公司, 114臺北市內湖區民權東路6段15巷37號3樓
永衡開發投資股份有限公司, 114臺北市內湖區內湖路1段320號9樓
中意整合行銷有限公司, 114臺北市內湖區瑞湖街178巷17號5樓
台灣長愛企業有限公司, 114臺北市內湖區瑞光路578號7樓
捷力邦科技股份有限公司, 114臺北市內湖區舊宗路2段121巷25號2樓
瘋狂娛樂有限公司, 114臺北市內湖區港墘路221巷41號6樓之1
禾麟數碼科技股份有限公司, 114臺北市內湖區內湖路1段360巷15號6樓
新悅開發建設股份有限公司, 114臺北市內湖區民權東路6段15巷25號2樓
斯威移動媒體股份有限公司, 114臺北市內湖區民權東路6段11巷39之1號
新元礦業股份有限公司, 114臺北市內湖區瑞光路258巷2號6樓之4
吉樂電影股份有限公司, 114臺北市內湖區瑞湖街88號8樓
基勝投資有限公司, 114臺北市內湖區港墘路183號9樓
提碁國際顧問股份有限公司, 114臺北市內湖區內湖路1段320號6樓
慶陽國際有限公司, 114臺北市內湖區瑞光路607號4樓
偉明國際有限公司, 114臺北市內湖區內湖路1段92號6樓
圓創實業有限公司, 114臺北市內湖區瑞光路478巷20號8樓之1
安盛生科股份有限公司, 114臺北市內湖區基湖路35巷2弄9號6樓
義達創新股份有限公司, 114臺北市內湖區陽光街345巷5號8樓
盟訊國際研發股份有限公司, 114臺北市內湖區陽光街345巷10號7樓
香蕉王國股份有限公司, 114臺北市內湖區洲子街50號6樓
同悅媒體股份有限公司, 114臺北市內湖區瑞湖街88號8樓
好有感覺音樂事業有限公司, 114臺北市內湖區堤頂大道2段501號4樓
亞洲沛妍生醫股份有限公司, 114臺北市內湖區民權東路6段16之1號地下1層
鋐冠實業股份有限公司, 114臺北市內湖區瑞光路258巷2號4樓之3
穩脈科技股份有限公司, 114臺北市內湖區洲子街12號2樓
無名興業股份有限公司, 114臺北市內湖區洲子街61號6樓之1
觀祐電子股份有限公司, 114臺北市內湖區瑞湖街193號4樓
杏旭實業股份有限公司, 114臺北市內湖區內湖路1段66號10樓
愛德邦士電氣工業股份有限公司, 114臺北市內湖區基湖路10巷57號4樓
商暢利通廣告有限公司, 114臺北市內湖區民權東路6段11巷43之1號5樓
依諾科技有限公司, 114臺北市內湖區民權東路6段11巷39之1號3樓
仰勝有限公司, 114臺北市內湖區內湖路1段250號12樓
圓藝企業股份有限公司, 114臺北市內湖區基湖路35巷49號
蜜雪兒開發股份有限公司, 114臺北市內湖區瑞光路26巷20弄25號6樓
隆電股份有限公司, 114臺北市內湖區內湖路1段250號11樓
哈帝股份有限公司, 114臺北市內湖區堤頂大道2段201號8樓
合全產品開發股份有限公司, 114臺北市內湖區瑞光路288號3樓
優仕咖啡股份有限公司, 114臺北市內湖區瑞光路26巷36弄6號2樓
啟延電子科技股份有限公司, 114臺北市內湖區內湖路1段306號6樓之2
國華保全股份有限公司, 114臺北市內湖區港墘路221巷33號3樓
馭航股份有限公司, 114臺北市內湖區瑞湖街103號5樓之2
德彥投資股份有限公司, 114臺北市內湖區瑞光路30號4樓
璉興投資股份有限公司, 114臺北市內湖區瑞光路30號4樓
台灣準時達國際物流股份有限公司, 114臺北市內湖區基湖路32號3樓
新凱管理顧問有限公司, 114臺北市內湖區內湖路1段516號6樓
凱宏管理顧問有限公司, 114臺北市內湖區瑞光路607號4樓
鴻平國際投資股份有限公司, 114臺北市內湖區瑞光路360號8樓
一茶會有限公司, 114臺北市內湖區內湖路1段250號12樓
民生漾行股份有限公司, 114臺北市內湖區基湖路35巷16號6樓之3
安永生活事業股份有限公司, 114臺北市內湖區堤頂大道2段483號2樓
彈珠汽水國際有限公司, 114臺北市內湖區瑞光路583巷21號3樓
璞方空間設計工作室有限公司, 114臺北市內湖區瑞光路578號7樓
惟盛投資顧問股份有限公司, 114臺北市內湖區陽光街321巷12號5樓
水木有限公司, 114臺北市內湖區基湖路35巷16號6樓
莫比網格運算股份有限公司, 114臺北市內湖區瑞光路583巷21號6樓
季維管理顧問股份有限公司, 114臺北市內湖區瑞光路168號9樓
富連投資股份有限公司, 114臺北市內湖區瑞光路513巷22弄17號
好園地股份有限公司, 114臺北市內湖區內湖路1段314號10樓
奕兆有限公司, 114臺北市內湖區瑞光路633號6樓
崧和有限公司, 114臺北市內湖區基湖路3巷49號
伊羅安企業股份有限公司, 114臺北市內湖區基湖路35巷16號6樓
愛樂益有限公司, 114臺北市內湖區陽光街321巷26號6樓之15
光磊創意有限公司, 114臺北市內湖區民權東路6段21巷31號5樓
羽澤科技股份有限公司, 114臺北市內湖區瑞光路408號2樓之2
英捷股份有限公司, 114臺北市內湖區洲子街63號1樓
意揚科技股份有限公司, 114臺北市內湖區洲子街88號6樓之2
睿建生物科技有限公司, 114臺北市內湖區舊宗路2段181巷2號2樓
福慧根股份有限公司, 114臺北市內湖區瑞光路316巷50號1樓
神谷機工股份有限公司, 114臺北市內湖區瑞光路188巷43號8樓
可登有聲出版社有限公司, 114臺北市內湖區瑞光路298號7樓之1
華格生物科技有限公司, 114臺北市內湖區堤頂大道2段473號6樓
中太科技股份有限公司, 114臺北市內湖區陽光街345巷5號2樓之1
典業有限公司, 114臺北市內湖區洲子街85號5樓之1
德技股份有限公司, 114臺北市內湖區內湖路1段308號4樓
寬友股份有限公司, 114臺北市內湖區陽光街345巷16號2樓
國眾電腦股份有限公司, 114臺北市內湖區陽光街298號3樓
振遠科技股份有限公司, 114臺北市內湖區瑞光路435號7樓
桑菲國際有限公司, 114臺北市內湖區堤頂大道2段285號11樓
立多設計興業有限公司, 114臺北市內湖區港墘路221巷41號6樓
豐浩實業有限公司, 114臺北市內湖區瑞光路258巷2號8樓
沃特斯有限公司, 114臺北市內湖區舊宗路2段181巷14號4樓
丞芯企業有限公司, 114臺北市內湖區舊宗路2段121巷23號3樓
安睿宏觀理財規劃顧問股份有限公司, 114臺北市內湖區洲子街105號2樓
弘大電機股份有限公司, 114臺北市內湖區基湖路3巷9號7樓之1
麥肯國際物流有限公司, 114臺北市內湖區陽光街300號7樓
可可數位科技股份有限公司, 114臺北市內湖區瑞湖街111號
楷成企業股份有限公司, 114臺北市內湖區瑞光路478巷20號4樓
弘原探勘有限公司, 114臺北市內湖區瑞光路194號
巨匡影業有限公司, 114臺北市內湖區瑞湖街88號8樓
中華書局股份有限公司, 114臺北市內湖區舊宗路2段181巷6號5樓
合騰國際有限公司, 114臺北市內湖區洲子街85號4樓
宏立有限公司, 114臺北市內湖區瑞光路192號9樓
和泰股份有限公司, 114臺北市內湖區洲子街68號4樓
東武有限公司, 114臺北市內湖區瑞光路76巷47號6樓
元寶實業股份有限公司, 114臺北市內湖區瑞湖街182號
昌興貿易股份有限公司, 114臺北市內湖區陽光街321巷18號7樓之1
立普思股份有限公司, 114臺北市內湖區瑞光路100號2樓
業泰投資有限公司, 114臺北市內湖區港墘路221巷21號3樓
中華產經投資有限公司, 114臺北市內湖區瑞光路478巷18弄20號7樓
白金實業股份有限公司, 114臺北市內湖區瑞光路302號10樓
捷醫國際生物科技股份有限公司, 114臺北市內湖區瑞光路358巷38弄36號2樓之3
台戩有限公司, 114臺北市內湖區洲子街79號4樓
傑聯邦國際有限公司, 114臺北市內湖區洲子街151號1樓
北科創新開發股份有限公司, 114臺北市內湖區瑞光路258巷50號2樓
萬金達貿易有限公司, 114臺北市內湖區洲子街74號2樓
培崗有限公司, 114臺北市內湖區瑞光路76巷69號3樓
景德製藥股份有限公司, 114臺北市內湖區港墘路221巷41號4樓
瑞順貿易有限公司, 114臺北市內湖區瑞光路478巷18弄30號7樓
銳昌企業股份有限公司, 114臺北市內湖區陽光街321巷12號1樓
寶島鐘錶股份有限公司, 114臺北市內湖區瑞光路513巷30號6樓
佳美貿易股份有限公司, 114臺北市內湖區瑞光路302號9樓
中國郵報社股份有限公司, 114臺北市內湖區瑞湖街111號
聖瑪股份有限公司, 114臺北市內湖區瑞光路582號8樓之1
仕瑋企業有限公司, 114臺北市內湖區瑞光路258巷2號3樓之1
崇誠科技股份有限公司, 114臺北市內湖區堤頂大道2段413號9樓
喜瑞仕企業有限公司, 114臺北市內湖區洲子街181號3樓
雲田文化有限公司, 114臺北市內湖區洲子街183號3樓
天寶資產股份有限公司, 114臺北市內湖區瑞光路288號9樓
紅石投資有限公司, 114臺北市內湖區基湖路37號12樓
波比特科技股份有限公司, 114臺北市內湖區內湖路1段250號6樓
理想大地國際開發股份有限公司, 114臺北市內湖區瑞光路258巷50號7樓
創延股份有限公司, 114臺北市內湖區洲子街88號7樓之1
壹柒聯合貿易股份有限公司, 114臺北市內湖區民權東路6段11巷41號3樓
新橋實業股份有限公司, 114臺北市內湖區瑞光路513巷39號9樓
德式馬企業股份有限公司, 114臺北市內湖區洲子街65號3樓
名成國際貿易股份有限公司, 114臺北市內湖區基湖路35巷11號4樓
華美航運股份有限公司, 114臺北市內湖區舊宗路2段105號1、2樓
伊蒂有限公司, 114臺北市內湖區洲子街75號9樓
光泉牧場股份有限公司, 114臺北市內湖區瑞光路502號4樓
麟鑫貿易有限公司, 114臺北市內湖區瑞光路258巷2號9樓
震易股份有限公司, 114臺北市內湖區內湖路1段88號2樓
海韻電子工業股份有限公司, 114臺北市內湖區內湖路1段360巷17號8樓
海林行動科技股份有限公司, 114臺北市內湖區堤頂大道2段297號8樓
神行貨運有限公司, 114臺北市內湖區舊宗路2段121巷28號1樓
楹儒國際有限公司, 114臺北市內湖區瑞光路258巷56號6樓之2
樂堤科技有限公司, 114臺北市內湖區洲子街181號3樓
中華寶島好酒有限公司, 114臺北市內湖區堤頂大道2段285號9樓
天馬資訊有限公司, 114臺北市內湖區瑞光路68號4樓
光子生醫股份有限公司, 114臺北市內湖區內湖路1段324號5樓
承研能源科技股份有限公司, 114臺北市內湖區瑞光路258巷2號8樓之2
中展置業地產開發有限公司, 114臺北市內湖區洲子街181號4樓
融合風創股份有限公司, 114臺北市內湖區瑞光路513巷28號7樓
大璽昌國際投資股份有限公司, 114臺北市內湖區基湖路1號2樓
明基能源技術股份有限公司, 114臺北市內湖區基湖路12號
佳是品味設計有限公司, 114臺北市內湖區陽光街381號7樓
中租雲端服務股份有限公司, 114臺北市內湖區瑞光路362號8樓
和弦有限公司, 114臺北市內湖區瑞光路192號3樓之2
永羚投資股份有限公司, 114臺北市內湖區內湖路1段392號10樓
泉勝國際股份有限公司, 114臺北市內湖區基湖路10巷1號6樓
聯合國際行動支付股份有限公司, 114臺北市內湖區堤頂大道2段415號3樓
實聯國際管理顧問有限公司, 114臺北市內湖區堤頂大道2段207號9樓
黑石實業有限公司, 114臺北市內湖區瑞光路478巷18弄20號
宏乾股份有限公司, 114臺北市內湖區瑞光路478巷24號4樓
